Age,total_individuals,diabetic_individuals,diabetes_rate,query,Diabetes,average_bmi,high_risk_individuals,bmi_category
1.0,5502,99,1.80,Query 1,,,,
2.0,7057,193,2.73,Query 1,,,,
3.0,9988,384,3.84,Query 1,,,,
4.0,12220,766,6.27,Query 1,,,,
5.0,14026,1209,8.62,Query 1,,,,
6.0,17275,2049,11.86,Query 1,,,,
7.0,23114,3487,15.09,Query 1,,,,
8.0,27260,4781,17.54,Query 1,,,,
9.0,29708,6381,21.48,Query 1,,,,
10.0,29138,7168,24.60,Query 1,,,,
11.0,22027,5688,25.82,Query 1,,,,
12.0,15381,3824,24.86,Query 1,,,,
13.0,16804,3651,21.73,Query 1,,,,
,189820,,,Query 2,0,27.96,,
,4625,,,Query 2,1,30.68,,
,35055,,,Query 2,2,31.9,,
,,,,Query 3,,,3823,
11.0,22027,5688,25.82,Query 4,,,,
12.0,15381,3824,24.86,Query 4,,,,
10.0,29138,7168,24.60,Query 4,,,,
13.0,16804,3651,21.73,Query 4,,,,
9.0,29708,6381,21.48,Query 4,,,,
,84661,,,Query 5,,,,Obese
,82859,,,Query 5,,,,Overweight
,58927,,,Query 5,,,,Normal
,3053,,,Query 5,,,,Underweight
